Ali,,proper
children,,common
brother,,common
sister,,common
apple(fruit),,common
jobs,,common
babies,,common
parents,,common
clock tower,,proper
car,,common
proton saga,,proper
computer,,common
hp laptop,,proper
city,,common
karachi,,proper
scissors,,common
teacher,,common
shoes,,common
Miss Mehwish,,proper
pakistan,,proper
street,,common
boot,,common
alarm,,common
train,,common
sun,,proper
kitchen,,common
k-mart,,proper
pen,,common
air-blue,,proper
september,,proper
day,,common
window,,common
juice,,common
socks,,common
dog,,common
rufi green city,,proper
